# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0008152	BP	p	metabolic process	81/321	4134/11561	5.5353977352804573e-05	1	81	0.018021673483863087	G000885, G001429, G001534, G001802, G002610, G002969, G003589, G003715, G003795, G003993, G004326, G006205, G006428, G007042, G007613, G007760, G008242, G008657, G008758, G009279, G009615, G010255, G010561, G011213, G011377, G011560, G011632, G012188, G012189, G012192, G012194, G012217, G012482, G012920, G012926, G012944, G013027, G013328, G013441, G013787, G014930, G014993, G015296, G015856, G016126, G016283, G016433, G016593, G016620, G016740, G016778, G017622, G017943, G018382, G018460, G018472, G018600, G019724, G020083, G020115, G020527, G020646, G020735, G021081, G021301, G021394, G021413, G022249, G022588, G023191, G023640, G023698, G024959, G024963, G025456, G025622, G026140, G026987, G027527, G027605, G028447
GO:0006259	BP	p	DNA metabolic process	5/321	698/11561	0.00011986171186320407	6	5	0.031041459242754782	G001429, G003715, G008242, G009615, G015296
GO:0051726	BP	p	regulation of cell cycle	2/321	497/11561	0.0001292091485895405	4	2	0.03200735322125683	G012482, G016412
GO:0071704	BP	p	organic substance metabolic process	77/321	3867/11561	0.0002406602785255104	2	77	0.04521226635536897	G000885, G001429, G001534, G001802, G002610, G002969, G003589, G003715, G003795, G003993, G004326, G006205, G006428, G007042, G007760, G008242, G008657, G008758, G009279, G009615, G010255, G010561, G011213, G011377, G011560, G011632, G012188, G012189, G012192, G012194, G012217, G012482, G012920, G012926, G012944, G013027, G013328, G013441, G013787, G014930, G015296, G015856, G016126, G016283, G016433, G016593, G016620, G016740, G016778, G017622, G017943, G018382, G018460, G018472, G018600, G019724, G020083, G020115, G020646, G020735, G021081, G021301, G021394, G021413, G022249, G022588, G023191, G023698, G024959, G024963, G025456, G025622, G026140, G026987, G027527, G027605, G028447
GO:0034702	CC	e	monoatomic ion channel complex	28/321	183/11561	1.3999968941256735e-13	4	28	2.386994704484273e-10	G002536, G003904, G003912, G007618, G010127, G011115, G011308, G012081, G013122, G013123, G013223, G016408, G016523, G017401, G019598, G020437, G021205, G021560, G021731, G023176, G023177, G023203, G023671, G023672, G025218, G025237, G025527, G025944
GO:1902495	CC	e	transmembrane transporter complex	28/321	225/11561	2.4327342840118156e-11	3	28	2.0739059771200728e-08	G002536, G003904, G003912, G007618, G010127, G011115, G011308, G012081, G013122, G013123, G013223, G016408, G016523, G017401, G019598, G020437, G021205, G021560, G021731, G023176, G023177, G023203, G023671, G023672, G025218, G025237, G025527, G025944
GO:1990351	CC	e	transporter complex	28/321	237/11561	8.460686356020277e-11	2	28	4.808490079004857e-08	G002536, G003904, G003912, G007618, G010127, G011115, G011308, G012081, G013122, G013123, G013223, G016408, G016523, G017401, G019598, G020437, G021205, G021560, G021731, G023176, G023177, G023203, G023671, G023672, G025218, G025237, G025527, G025944
GO:0034703	CC	e	cation channel complex	21/321	135/11561	1.262989822504135e-10	5	21	5.383494118423876e-08	G002536, G003904, G003912, G007618, G010127, G011115, G011308, G012081, G013122, G013123, G016408, G016523, G017401, G021560, G021731, G023176, G023177, G025218, G025237, G025527, G025944
GO:0005576	CC	e	extracellular region	39/321	610/11561	1.3223768769968098e-06	2	39	0.0002397230330686496	G000555, G001363, G002121, G002296, G003024, G003651, G004203, G004475, G006206, G006618, G007268, G008731, G008780, G009585, G010338, G010895, G012020, G012022, G012023, G012397, G013787, G016872, G017622, G017943, G018518, G019113, G019705, G019715, G019956, G020115, G021081, G021814, G021819, G023284, G023536, G023618, G023780, G024727, G025895
GO:0032420	CC	e	stereocilium	7/321	25/11561	3.72394852571663e-06	5	7	0.0005772120214860776	G001350, G004340, G006618, G010042, G010275, G014409, G023780
GO:0016020	CC	e	membrane	172/321	4774/11561	8.684274482433117e-06	2	172	0.001138975999426805	G000885, G001189, G001350, G001447, G001534, G001802, G002296, G002442, G002519, G002520, G002529, G002536, G002610, G003385, G003411, G003589, G003637, G003770, G003795, G003904, G003912, G003967, G004326, G004340, G005193, G005707, G005708, G006205, G006311, G006385, G006428, G006513, G006615, G006617, G006618, G006665, G006731, G006982, G007442, G007613, G007618, G007760, G007955, G007983, G008172, G008687, G008758, G009206, G009734, G010119, G010127, G010236, G010338, G010719, G010765, G010895, G010914, G011115, G011213, G011218, G011377, G011560, G011632, G011829, G012192, G012194, G012397, G012418, G012482, G012920, G012926, G012944, G013027, G013122, G013123, G013223, G013328, G013441, G013772, G014350, G014913, G014993, G015337, G015386, G015408, G015663, G015934, G015981, G016126, G016259, G016408, G016412, G016433, G016740, G016778, G017316, G017455, G017943, G018460, G018472, G018530, G018600, G019075, G019085, G019113, G019562, G019598, G019644, G019724, G020083, G020115, G020155, G020437, G020527, G020646, G020735, G020863, G020996, G021081, G021205, G021301, G021394, G021413, G021451, G021560, G021728, G021731, G021801, G021886, G021906, G021912, G021927, G022027, G022249, G022319, G022588, G022834, G022903, G023108, G023176, G023177, G023203, G023368, G023416, G023513, G023600, G023640, G023671, G023672, G023698, G023780, G024626, G024644, G024670, G024673, G024959, G024963, G025216, G025237, G025456, G025527, G025944, G026140, G026987, G027490, G027600, G027605, G027990, G028078, G028320, G028447, G028500
GO:0098590	CC	e	plasma membrane region	45/321	817/11561	1.1365955867306836e-05	3	45	0.0013073303894056707	G001189, G001350, G002296, G002536, G003637, G003904, G003912, G004340, G005707, G006618, G006665, G007955, G009206, G009734, G010127, G010338, G010895, G012397, G012482, G013122, G013123, G013223, G016408, G016740, G019085, G019598, G020083, G020437, G020996, G021205, G021394, G021731, G022027, G022319, G022903, G023176, G023177, G023203, G023671, G023672, G023698, G023780, G025944, G026987, G028078
GO:0008076	CC	e	voltage-gated potassium channel complex	10/321	68/11561	1.6490627936013363e-05	7	10	0.0016539129782883989	G002536, G007618, G011115, G013122, G013123, G016408, G021560, G025237, G025527, G025944
GO:0044218	CC	e	other organism cell membrane	4/321	7/11561	1.9111813324572608e-05	3	4	0.0017150337746524365	G012020, G012022, G012023, G023536
GO:0044217	CC	e	other organism part	4/321	7/11561	1.9111813324572608e-05	2	4	0.0017150337746524365	G012020, G012022, G012023, G023536
GO:0034705	CC	e	potassium channel complex	10/321	71/11561	2.432890544626739e-05	6	10	0.002074039189294295	G002536, G007618, G011115, G013122, G013123, G016408, G021560, G025237, G025527, G025944
GO:0098796	CC	e	membrane protein complex	38/321	673/11561	2.8162955822789412e-05	2	38	0.0022865637941836166	G001534, G002536, G003411, G003904, G003912, G007618, G010127, G010338, G011115, G011308, G012020, G012022, G012023, G012081, G013122, G013123, G013223, G016408, G016523, G017401, G019598, G020115, G020437, G020996, G021205, G021560, G021731, G022319, G023176, G023177, G023203, G023671, G023672, G025218, G025237, G025527, G025944, G026504
GO:0120025	CC	e	plasma membrane bounded cell projection	53/321	1109/11561	7.171890715982078e-05	3	53	0.00555821530488611	G001350, G001363, G002505, G002536, G003795, G003904, G003912, G004186, G004188, G004340, G005707, G006618, G007955, G009518, G010042, G010119, G010127, G010275, G010561, G010607, G010914, G011218, G011864, G013122, G013123, G013223, G013328, G014409, G014415, G014991, G014993, G016408, G016593, G017401, G019598, G020437, G020996, G021205, G021394, G022319, G023176, G023177, G023191, G023379, G023671, G023672, G023780, G025733, G025840, G025944, G026140, G026402, G026987
GO:0098797	CC	e	plasma membrane protein complex	20/321	297/11561	0.0002345858848392316	3	20	0.016665372235453745	G002536, G007618, G010127, G010338, G011115, G011308, G012081, G013122, G013123, G013223, G016408, G017401, G021560, G022319, G023671, G023672, G025218, G025237, G025527, G025944
GO:0005886	CC	e	plasma membrane	88/321	2226/11561	0.00031298362201548	3	88	0.020000959400995968	G001447, G001534, G001802, G002442, G002519, G002520, G002529, G002536, G002610, G003385, G003637, G003795, G003904, G003912, G003967, G004340, G005707, G005708, G006205, G006615, G006665, G007442, G007613, G008172, G010119, G010127, G010236, G010338, G010719, G010765, G010895, G011218, G011829, G012482, G012920, G013027, G013122, G013123, G013223, G014993, G015934, G015981, G016259, G016408, G016412, G016433, G016740, G016778, G018460, G018530, G019075, G019085, G019113, G019598, G019644, G019724, G020115, G020155, G020437, G020863, G021205, G021301, G021560, G021728, G021731, G021906, G021912, G021927, G022027, G022249, G022319, G023108, G023176, G023177, G023368, G023416, G023513, G023600, G023671, G023672, G024959, G025527, G025944, G026140, G026987, G027490, G027600, G027605
GO:0042995	CC	e	cell projection	53/321	1167/11561	0.00031673073538234084	2	53	0.020000959400995968	G001350, G001363, G002505, G002536, G003795, G003904, G003912, G004186, G004188, G004340, G005707, G006618, G007955, G009518, G010042, G010119, G010127, G010275, G010561, G010607, G010914, G011218, G011864, G013122, G013123, G013223, G013328, G014409, G014415, G014991, G014993, G016408, G016593, G017401, G019598, G020437, G020996, G021205, G021394, G022319, G023176, G023177, G023191, G023379, G023671, G023672, G023780, G025733, G025840, G025944, G026140, G026402, G026987
GO:0005929	CC	e	cilium	19/321	291/11561	0.0007402357926432504	4	19	0.045075072373455066	G001363, G002505, G003795, G003904, G003912, G004186, G004340, G007955, G009518, G014415, G014991, G016593, G020996, G023176, G023177, G023191, G025733, G025840, G026402
GO:0042383	CC	e	sarcolemma	8/321	72/11561	0.00082618107278251	4	8	0.04857374927910964	G003904, G003912, G006665, G010127, G010338, G021301, G023176, G023177
GO:0043231	CC	p	intracellular membrane-bounded organelle	97/321	5380/11561	1.877416591366402e-09	4	97	6.401990576559432e-07	G001197, G001215, G001350, G001429, G001534, G002340, G002480, G003197, G003411, G003651, G003770, G003795, G003824, G003904, G003912, G004203, G004305, G004326, G004475, G004960, G004983, G005557, G005707, G006428, G006904, G007846, G008423, G008657, G008758, G009326, G009327, G009330, G009332, G009518, G009762, G009882, G010255, G010561, G010607, G010914, G011225, G011718, G012188, G012189, G012920, G012926, G013027, G013328, G013441, G014722, G014913, G014991, G015296, G015632, G016259, G016523, G016593, G016939, G017943, G018201, G018326, G018382, G018460, G018600, G019562, G019724, G020083, G020920, G020976, G021246, G021301, G021451, G021886, G022319, G022496, G023176, G023177, G023191, G023416, G023640, G024626, G024644, G024670, G024673, G024727, G024944, G024959, G025653, G025687, G025840, G026504, G026974, G027266, G027270, G027527, G028447, G028500
GO:0043229	CC	p	intracellular organelle	121/321	6056/11561	1.1199856581233634e-07	3	121	3.182625911833891e-05	G001197, G001215, G001350, G001363, G001429, G001534, G002340, G002480, G003197, G003411, G003651, G003715, G003770, G003795, G003824, G003904, G003912, G003993, G004188, G004203, G004305, G004326, G004475, G004960, G004983, G005193, G005557, G005707, G006428, G006617, G006904, G007846, G007991, G008423, G008657, G008758, G009326, G009327, G009330, G009332, G009465, G009518, G009762, G009882, G010042, G010255, G010338, G010561, G010607, G010914, G011225, G011718, G011829, G011864, G012020, G012022, G012023, G012188, G012189, G012482, G012920, G012926, G013027, G013328, G013441, G014409, G014722, G014913, G014991, G015296, G015632, G015870, G016259, G016523, G016593, G016939, G017639, G017943, G018201, G018326, G018382, G018460, G018600, G019562, G019724, G020083, G020920, G020976, G020996, G021246, G021301, G021451, G021731, G021886, G022319, G022414, G022496, G023176, G023177, G023191, G023379, G023416, G023640, G024626, G024644, G024670, G024673, G024727, G024944, G024959, G025653, G025687, G025733, G025840, G026504, G026974, G027266, G027270, G027527, G028447, G028500
GO:0005634	CC	p	nucleus	51/321	3197/11561	6.673611596309105e-07	5	51	0.00016255011102438605	G001197, G001215, G001350, G001429, G001534, G002340, G003197, G003411, G003651, G003795, G003824, G004305, G004960, G004983, G005557, G005707, G008423, G009326, G009327, G009330, G009332, G009882, G010561, G010607, G011718, G012188, G012189, G013441, G014722, G015296, G015632, G016593, G016939, G017943, G018201, G018460, G019724, G020920, G021246, G021886, G022319, G022496, G024727, G024959, G025653, G025687, G026504, G026974, G027266, G027270, G028500
GO:0043227	CC	p	membrane-bounded organelle	118/321	5782/11561	1.3539522149986643e-06	3	118	0.0002397230330686496	G001197, G001215, G001350, G001363, G001429, G001534, G002340, G002480, G002505, G003197, G003411, G003651, G003770, G003795, G003824, G003904, G003912, G004186, G004203, G004305, G004326, G004340, G004475, G004960, G004983, G005557, G005707, G006311, G006428, G006904, G006982, G007846, G007955, G007983, G008423, G008657, G008758, G009326, G009327, G009330, G009332, G009518, G009734, G009762, G009882, G010255, G010561, G010607, G010914, G011225, G011718, G012188, G012189, G012920, G012926, G013027, G013328, G013441, G014409, G014415, G014722, G014913, G014991, G015296, G015632, G016259, G016523, G016593, G016939, G017316, G017943, G018201, G018326, G018382, G018460, G018600, G019085, G019562, G019724, G020083, G020920, G020976, G020996, G021246, G021301, G021451, G021886, G022319, G022496, G022903, G023176, G023177, G023191, G023416, G023600, G023640, G024626, G024644, G024670, G024673, G024727, G024944, G024959, G025653, G025687, G025733, G025840, G026402, G026504, G026974, G027266, G027270, G027527, G027990, G028078, G028320, G028447, G028500
GO:0005829	CC	p	cytosol	29/321	2173/11561	1.4060001939510242e-06	2	29	0.0002397230330686496	G001350, G001534, G002480, G003411, G004326, G005193, G005256, G005707, G006904, G007760, G008657, G009518, G010255, G010607, G010914, G011829, G012217, G017639, G017943, G018326, G018460, G019085, G019724, G020996, G021205, G021301, G021830, G025840, G027605
GO:0140513	CC	p	nuclear protein-containing complex	6/321	887/11561	6.057709092140064e-06	2	6	0.0008606995001749007	G005707, G009279, G009615, G010561, G015632, G015870
GO:1902494	CC	p	catalytic complex	11/321	1161/11561	1.150144037600297e-05	2	11	0.0013073303894056707	G002969, G005707, G008657, G009279, G009615, G012188, G012189, G014930, G015856, G025840, G026504
