# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0003684	MF	e	damaged DNA binding	21/2037	44/11561	4.157744967112058e-06	5	21	0.0005229067634088487	G001261, G002001, G004455, G005134, G005387, G007619, G012072, G013001, G013265, G014064, G017314, G018143, G018295, G018363, G020702, G021358, G023196, G026536, G026977, G028034, G028376
GO:0140110	MF	e	transcription regulator activity	132/2037	525/11561	9.983456604167793e-06	1	132	0.001052422717022688	G001200, G001247, G001335, G001362, G002328, G002340, G002489, G002591, G003423, G003574, G003730, G003908, G004282, G004403, G004879, G005217, G005271, G005619, G005670, G005832, G005835, G005846, G005883, G005981, G006034, G006198, G006271, G006274, G006938, G007193, G007410, G007769, G008423, G008454, G008870, G009285, G009331, G009397, G009946, G009960, G010493, G010527, G010749, G010954, G010982, G011272, G011332, G011505, G011546, G011799, G012589, G013230, G013447, G014064, G014343, G014412, G014797, G014884, G015369, G015600, G015602, G016040, G016130, G016145, G016161, G016168, G016258, G016386, G016417, G016421, G016583, G016750, G016819, G016930, G016935, G016939, G017545, G017606, G017621, G017709, G017812, G017893, G018129, G018399, G018421, G018592, G019114, G019554, G020247, G020406, G021069, G021722, G021947, G021958, G022175, G022268, G022280, G022496, G022550, G022592, G022693, G022752, G023060, G023196, G023290, G023343, G023703, G023705, G023819, G024143, G024464, G024470, G024597, G024651, G024914, G025076, G025129, G025568, G025691, G025955, G026344, G026353, G026444, G026503, G026536, G026638, G026734, G026977, G027068, G027188, G028323, G028324
GO:0140034	MF	e	methylation-dependent protein binding	23/2037	53/11561	1.0846395705336771e-05	4	23	0.0010832124132040275	G007619, G008039, G011181, G012589, G012896, G014064, G014412, G014710, G014884, G016168, G016421, G019225, G019432, G019434, G020982, G021246, G021940, G022233, G023001, G024507, G025721, G026734, G028148
GO:0035064	MF	e	methylated histone binding	23/2037	53/11561	1.0846395705336771e-05	5	23	0.0010832124132040275	G007619, G008039, G011181, G012589, G012896, G014064, G014412, G014710, G014884, G016168, G016421, G019225, G019432, G019434, G020982, G021246, G021940, G022233, G023001, G024507, G025721, G026734, G028148
GO:0016896	MF	e	RNA exonuclease activity, producing 5'-phosphomonoesters	17/2037	34/11561	1.5823477779461764e-05	7	17	0.0015397461070014717	G001354, G005189, G007133, G010673, G010974, G016378, G016498, G016675, G016676, G016682, G017464, G019622, G022268, G023164, G024722, G026775, G027709
GO:0140640	MF	e	catalytic activity, acting on a nucleic acid	155/2037	645/11561	2.485748981873647e-05	2	155	0.002246051758621545	G000576, G000577, G001068, G001130, G001200, G001261, G001354, G001472, G001505, G001757, G003396, G003647, G003814, G003878, G004176, G004282, G004357, G005134, G005189, G005387, G005763, G005910, G005943, G005979, G006406, G006447, G006725, G006945, G007007, G007133, G007270, G007276, G007617, G007619, G008045, G008241, G008293, G008381, G009020, G009173, G009682, G009949, G010265, G010673, G010769, G010974, G010989, G011120, G011197, G011847, G012019, G012072, G012449, G012598, G012962, G013001, G013032, G013405, G013444, G013445, G013450, G013946, G014095, G014377, G014449, G014523, G014629, G014904, G014914, G014963, G015516, G015815, G016378, G016436, G016437, G016498, G016561, G016657, G016675, G016676, G016682, G017073, G017109, G017111, G017206, G017464, G017611, G017895, G018143, G018234, G018280, G018290, G018302, G018363, G018657, G018659, G019622, G019751, G019960, G020123, G020175, G020223, G020458, G020464, G020520, G020702, G020919, G021040, G021404, G021487, G021841, G021940, G021957, G021997, G022115, G022119, G022254, G022268, G022282, G022376, G022468, G022660, G022801, G023164, G023253, G024355, G024507, G024722, G024842, G025272, G025352, G025431, G025637, G025642, G025653, G025677, G026003, G026369, G026427, G026536, G026734, G026764, G026775, G027196, G027314, G027350, G027458, G027574, G027709, G027728, G027909, G028034, G028094, G028770, G028875
GO:0004532	MF	e	RNA exonuclease activity	17/2037	35/11561	2.5738183671562304e-05	6	17	0.002271544349618115	G001354, G005189, G007133, G010673, G010974, G016378, G016498, G016675, G016676, G016682, G017464, G019622, G022268, G023164, G024722, G026775, G027709
GO:0032451	MF	e	demethylase activity	14/2037	27/11561	5.344188951607929e-05	2	14	0.0044089558850765416	G002270, G005271, G006271, G006274, G009397, G012568, G012589, G018302, G018421, G020744, G022557, G026228, G026503, G026536
GO:0000175	MF	e	3'-5'-RNA exonuclease activity	14/2037	27/11561	5.344188951607929e-05	8	14	0.0044089558850765416	G001354, G005189, G016378, G016498, G016675, G016676, G016682, G017464, G019622, G022268, G023164, G024722, G026775, G027709
GO:0016922	MF	e	nuclear receptor binding	24/2037	63/11561	9.708808757817594e-05	6	24	0.007368985847183554	G000606, G003574, G003973, G004435, G005979, G006271, G006274, G007410, G009397, G009470, G012568, G013001, G015334, G015603, G016258, G016930, G019114, G021069, G021520, G022550, G025568, G026228, G026450, G027521
