ID	Ec_Head	En_Head	Ec_BodyCol/SC	I_ISC	Ec_Peduncle	Ec_Tentacle	I_FemGC	Ec_BasalDisk	I_Neuro	I_EarlyNem	I_MaleGC	I_En2N	En_Foot	En_BodyCol/SC	I_ZymoGl	I_GlProgen	I_StenoNB	I_DesmoNC	I_IsoNC	I_StenoNC	En_Tentacle	I_Ec1N	I_Ec4N	I_SpumMucGl	I_Ec3N	I_GranGl	I_DesmoNB	I_IsoNB	I_Ec2N	I_Ec1/5N	I_En1N	I_En3N	C_neuron	C_germline	C_nematoblast	C_nematocytes	C_gland_cell	C_progenitor	C_neuroprogenitor	C_EC_foot	C_EN_foot	C_tentacle	C_head	L_ENDODERM	L_ECTODERM	L_INTERSTITIAL
HVAEP1-G000246	1			1			1					1		1					1			1	1		1			1	1	1	1		1	1	1	1							1	1		1
HVAEP1-G000249	1	1	1		1	1	1						1	1							1													1						1	1	1	1	1	1	
HVAEP1-G000250	1		1	1	1			1	1													1	1					1		1	1	1	1		1				1	1			1		1	1
HVAEP1-G000252			1	1			1	1		1		1		1		1		1	1		1			1		1						1	1	1		1	1	1		1		1		1	1	1
HVAEP1-G000253		1	1	1			1		1	1				1			1	1																1	1	1			1				1	1	1	1
HVAEP1-G000255	1	1	1	1	1	1	1	1			1	1	1	1							1			1									1	1			1			1	1	1	1	1	1	1
HVAEP1-G000256																				1		1											1			1										
HVAEP1-G000261		1												1																													1	1		
HVAEP1-G000262		1	1		1		1				1			1																				1						1			1	1	1	
HVAEP1-G000267	1	1	1		1	1	1						1	1				1			1			1										1		1	1			1	1	1	1	1	1	
HVAEP1-G000271	1	1	1				1						1	1							1													1							1	1	1	1	1	
HVAEP1-G000275	1	1	1		1	1		1					1	1							1																			1	1	1	1	1	1	
HVAEP1-G000279	1	1	1	1	1	1	1	1	1	1		1	1	1							1					1						1	1	1		1			1	1	1	1	1	1	1	1
HVAEP1-G000280	1	1	1		1	1		1			1		1	1					1		1													1		1				1	1	1	1	1	1	
HVAEP1-G000283	1	1		1				1					1	1							1																			1	1	1	1	1		1
HVAEP1-G000285	1	1	1		1	1	1	1					1	1							1													1						1	1	1	1	1	1	
HVAEP1-G000286	1	1	1		1	1	1						1	1																		1	1	1						1	1	1	1	1	1	
HVAEP1-G000290	1	1		1	1		1		1	1			1	1	1		1			1	1				1		1			1			1	1	1	1			1	1	1	1	1	1		1
HVAEP1-G000291				1	1		1						1	1	1					1	1					1								1		1				1	1	1		1		1
