ID	CLS
HVAEP1-G000053	I_ISC
HVAEP1-G000053	Ec_Peduncle
HVAEP1-G000053	Ec_Tentacle
HVAEP1-G000053	I_GranGl
HVAEP1-G000053	I_SpumMucGl
HVAEP1-G000053	I_En2N
HVAEP1-G000053	I_En1N
HVAEP1-G000054	Ec_Head
HVAEP1-G000054	En_BodyCol/SC
HVAEP1-G000054	Ec_BodyCol/SC
HVAEP1-G000054	I_ISC
HVAEP1-G000054	Ec_Peduncle
HVAEP1-G000054	Ec_Tentacle
HVAEP1-G000054	I_FemGC
HVAEP1-G000054	I_GlProgen
HVAEP1-G000054	I_Neuro
HVAEP1-G000054	I_EarlyNem
HVAEP1-G000054	I_MaleGC
HVAEP1-G000054	I_DesmoNB
HVAEP1-G000055	Ec_Head
HVAEP1-G000055	En_Foot
HVAEP1-G000055	En_BodyCol/SC
HVAEP1-G000055	En_Head
HVAEP1-G000055	Ec_BodyCol/SC
HVAEP1-G000055	En_Tentacle
HVAEP1-G000055	Ec_Peduncle
HVAEP1-G000055	Ec_Tentacle
HVAEP1-G000055	I_FemGC
HVAEP1-G000055	Ec_BasalDisk
HVAEP1-G000055	I_IsoNC
HVAEP1-G000055	I_Ec1/5N
HVAEP1-G000056	Ec_Head
HVAEP1-G000056	En_Foot
HVAEP1-G000056	En_BodyCol/SC
HVAEP1-G000056	En_Head
HVAEP1-G000056	Ec_BodyCol/SC
HVAEP1-G000056	En_Tentacle
HVAEP1-G000056	Ec_Peduncle
HVAEP1-G000056	Ec_Tentacle
HVAEP1-G000056	I_FemGC
HVAEP1-G000056	Ec_BasalDisk
HVAEP1-G000057	Ec_Head
HVAEP1-G000057	En_Foot
HVAEP1-G000057	En_BodyCol/SC
HVAEP1-G000057	En_Head
HVAEP1-G000057	Ec_BodyCol/SC
HVAEP1-G000057	Ec_Tentacle
HVAEP1-G000057	I_FemGC
HVAEP1-G000057	Ec_BasalDisk
HVAEP1-G000057	I_MaleGC
HVAEP1-G000057	I_StenoNB
HVAEP1-G000057	I_SpumMucGl
HVAEP1-G000057	I_DesmoNC
HVAEP1-G000058	Ec_Head
HVAEP1-G000058	En_Foot
HVAEP1-G000058	En_Tentacle
HVAEP1-G000058	I_ISC
HVAEP1-G000058	Ec_Peduncle
HVAEP1-G000058	I_FemGC
HVAEP1-G000058	Ec_BasalDisk
HVAEP1-G000058	I_MaleGC
HVAEP1-G000058	I_StenoNB
HVAEP1-G000058	I_DesmoNC
HVAEP1-G000058	I_StenoNC
HVAEP1-G000060	Ec_Head
HVAEP1-G000060	En_BodyCol/SC
