ID	Ec_Head	En_Head	Ec_BodyCol/SC	I_ISC	Ec_Peduncle	Ec_Tentacle	I_FemGC	Ec_BasalDisk	I_Neuro	I_EarlyNem	I_MaleGC	I_En2N	En_Foot	En_BodyCol/SC	I_ZymoGl	I_GlProgen	I_StenoNB	I_DesmoNC	I_IsoNC	I_StenoNC	En_Tentacle	I_Ec1N	I_Ec4N	I_SpumMucGl	I_Ec3N	I_GranGl	I_DesmoNB	I_IsoNB	I_Ec2N	I_Ec1/5N	I_En1N	I_En3N	C_neuron	C_germline	C_nematoblast	C_nematocytes	C_gland_cell	C_progenitor	C_neuroprogenitor	C_EC_foot	C_EN_foot	C_tentacle	C_head	L_ENDODERM	L_ECTODERM	L_INTERSTITIAL
HVAEP1-G000637																																														
HVAEP1-G000638																																														
HVAEP1-G000639																																														
HVAEP1-G000641																																														
HVAEP1-G000642																																														
HVAEP1-G000643																																														
HVAEP1-G000644																																														
HVAEP1-G000645																																												1		
HVAEP1-G000647																																												1		
HVAEP1-G000649																																														
HVAEP1-G000654																																														
HVAEP1-G000655																																								1					1	
HVAEP1-G000657																																														
HVAEP1-G000658																																														
HVAEP1-G000660																																								1					1	
HVAEP1-G000661																																													1	
HVAEP1-G000662																																														
HVAEP1-G000663																																													1	
HVAEP1-G000665																																														
HVAEP1-G000667																																														
HVAEP1-G000668																																													1	
HVAEP1-G000672																																													1	
HVAEP1-G000673																																													1	
HVAEP1-G000674																																													1	
HVAEP1-G000675																																														
HVAEP1-G000676																																														
HVAEP1-G000682																																														1
HVAEP1-G000683																																														
HVAEP1-G000691																																														1
HVAEP1-G000695																																														
HVAEP1-G000699																																													1	
HVAEP1-G000701																																												1		
HVAEP1-G000703																																														
HVAEP1-G000704																																														
HVAEP1-G000706																																												1		
HVAEP1-G000707																																														1
HVAEP1-G000708																																														
HVAEP1-G000709																																														
HVAEP1-G000710																																														
HVAEP1-G000711																																														
HVAEP1-G000717																																														
HVAEP1-G000718																																														1
HVAEP1-G000720																																														
HVAEP1-G000721																																														
HVAEP1-G000727																																														
HVAEP1-G000732																																														
HVAEP1-G000736																																														
HVAEP1-G000739																																														
HVAEP1-G000740																																														
HVAEP1-G000741																																												1		
HVAEP1-G000745																																														
HVAEP1-G000746																																														
HVAEP1-G000748																																														
HVAEP1-G000750																																														
HVAEP1-G000751																																														
HVAEP1-G000752																																												1		
HVAEP1-G000753																																												1		
HVAEP1-G000754																																														
HVAEP1-G000755																																														
HVAEP1-G000760																																												1		
HVAEP1-G000761																																												1		
HVAEP1-G000762																																												1		
HVAEP1-G000763																																												1		
HVAEP1-G000764																																												1		
HVAEP1-G000765																																												1		
HVAEP1-G000767																																												1		
HVAEP1-G000768																																												1		
HVAEP1-G000769																																														
HVAEP1-G000770																																														
HVAEP1-G000771																																														
HVAEP1-G000772																																														
HVAEP1-G000773																																														
HVAEP1-G000775																																													1	
HVAEP1-G000776																																														
HVAEP1-G000777																																														
HVAEP1-G000780																																														1
HVAEP1-G000781																																														
HVAEP1-G000782																																														
HVAEP1-G000783																																													1	
HVAEP1-G000784																																													1	
HVAEP1-G000785																																													1	
HVAEP1-G000786																																														
HVAEP1-G000787																																														
HVAEP1-G000788																																														
HVAEP1-G000789																																														
HVAEP1-G000790																																														
HVAEP1-G000791																																														
HVAEP1-G000792																																													1	
HVAEP1-G000794																																														
HVAEP1-G000795																																												1		
HVAEP1-G000796																																														
HVAEP1-G000797																																														
HVAEP1-G000798																																														
HVAEP1-G000799																																														
HVAEP1-G000800																																												1		
HVAEP1-G000801																																														
HVAEP1-G000802																																														
HVAEP1-G000803																																														
HVAEP1-G000806																																														
HVAEP1-G000807																																													1	
HVAEP1-G000808																																														
HVAEP1-G000812																																														
HVAEP1-G000816																																														
HVAEP1-G000817																																														1
HVAEP1-G000818																																													1	
HVAEP1-G000819																																														
HVAEP1-G000820																																														
HVAEP1-G000821																																														
HVAEP1-G000822																																														
HVAEP1-G000824																																													1	
HVAEP1-G000825																																														
HVAEP1-G000826																																														
HVAEP1-G000827																																														
HVAEP1-G000828																																														
HVAEP1-G000829																																														
HVAEP1-G000830																																														
HVAEP1-G000831																																														
HVAEP1-G000832																																														
HVAEP1-G000835																																													1	
HVAEP1-G000836																																														
HVAEP1-G000837																																													1	
HVAEP1-G000842																																													1	
HVAEP1-G000843																																														
HVAEP1-G000844																																														
HVAEP1-G000845																																														
HVAEP1-G000846																																														
HVAEP1-G000847																																														
HVAEP1-G000848																																												1		
HVAEP1-G000849																																												1		
HVAEP1-G000850																																													1	
HVAEP1-G000853																																														
HVAEP1-G000854																																														
HVAEP1-G000856																																														1
HVAEP1-G000857																																														
HVAEP1-G000858																																				1										
HVAEP1-G000859																																	1													
HVAEP1-G000860																																												1		
HVAEP1-G000861																																														
HVAEP1-G000862																																														
HVAEP1-G000863																																														
HVAEP1-G000864																																														
HVAEP1-G000866																																												1		
HVAEP1-G000867																																														
HVAEP1-G000868																																														
HVAEP1-G000869																																														
HVAEP1-G000870																																													1	
HVAEP1-G000872																																														
HVAEP1-G000873																																														
HVAEP1-G000875																																														
HVAEP1-G000876																																	1													
HVAEP1-G000877																																														
HVAEP1-G000878																				1																1										
HVAEP1-G000879																																												1		
HVAEP1-G000880																																												1		
HVAEP1-G000881																																													1	
HVAEP1-G000882																																														
HVAEP1-G000883																																														
HVAEP1-G000884																																														
HVAEP1-G000885																																														
HVAEP1-G000887																																														
HVAEP1-G000888																																														
HVAEP1-G000889																																														1
HVAEP1-G000890																																														
HVAEP1-G000891																																														
HVAEP1-G000892																																														
HVAEP1-G000893																																														
HVAEP1-G000895																																													1	
HVAEP1-G000897																																				1										
HVAEP1-G000903																																														
HVAEP1-G000904																																		1												
HVAEP1-G000905																																														
HVAEP1-G000906																																														
HVAEP1-G000909																																														
HVAEP1-G000910																																													1	
HVAEP1-G000911																																														
HVAEP1-G000912																																														
HVAEP1-G000913																																												1		
HVAEP1-G000914																																														
HVAEP1-G000916																																														
HVAEP1-G000918																																														
HVAEP1-G000919																																														
HVAEP1-G000920																																	1													
HVAEP1-G000921																																														
HVAEP1-G000922																																														
